  0.369ms	(prepared stmt — SQL same as prior)
  0.333ms	(prepared stmt — SQL same as prior)
  0.330ms	(prepared stmt — SQL same as prior)
  0.319ms	(prepared stmt — SQL same as prior)
  0.181ms	(prepared stmt — SQL same as prior)
  0.180ms	(prepared stmt — SQL same as prior)
  0.158ms	(prepared stmt — SQL same as prior)
  0.060ms	SELECT s.id, s.user_id, s.workspace_id, s.expires_at, s.last_activity, s.created_at, u.is_super_admin FROM sessions s JOIN users u ON s.user_id = u.id WHERE s.id = $1
  0.059ms	SELECT s.id, s.user_id, s.workspace_id, s.expires_at, s.last_activity, s.created_at, u.is_super_admin FROM sessions s JOIN users u ON s.user_id = u.id WHERE s.id = $1
  0.053ms	SELECT s.id, s.user_id, s.workspace_id, s.expires_at, s.last_activity, s.created_at, u.is_super_admin FROM sessions s JOIN users u ON s.user_id = u.id WHERE s.id = $1
